Time,Y,Y_type,CL,Drug,ConcInit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,1.73427166666667,IL2,HighExpr,LowAffinity,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0,IL2,HighExpr,LowAffinity,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,0,IL2,HighExpr,LowAffinity,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,1.81724666666667,IL2,HighExpr,LowAffinity,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,2.06617133333333,IL2,HighExpr,LowAffinity,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0,IL2,HighExpr,LowAffinity,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,0,IL2,HighExpr,LowAffinity,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,1.36088466666667,IL2,HighExpr,LowAffinity,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,1.46460333333333,IL2,HighExpr,LowAffinity,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0,IL2,HighExpr,LowAffinity,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,0,IL2,HighExpr,LowAffinity,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,1.485347,IL2,HighExpr,LowAffinity,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,1.879478,IL2,HighExpr,LowAffinity,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0.360181666666667,IL2,HighExpr,LowAffinity,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,0,IL2,HighExpr,LowAffinity,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,3.16558833333333,IL2,HighExpr,LowAffinity,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,20.3621323333333,IL2,HighExpr,LowAffinity,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,4.424831,IL2,HighExpr,LowAffinity,50000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,1.36517733333333,IL2,HighExpr,LowAffinity,50000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,10.5918383333333,IL2,HighExpr,LowAffinity,50000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,3.41451333333333,IL2,HighExpr,LowAffinity,50000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0,IL6,HighExpr,LowAffinity,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,0,IL6,HighExpr,LowAffinity,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,0,IL6,HighExpr,LowAffinity,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,0,IL6,HighExpr,LowAffinity,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0,IL6,HighExpr,LowAffinity,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,0,IL6,HighExpr,LowAffinity,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,0,IL6,HighExpr,LowAffinity,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,0,IL6,HighExpr,LowAffinity,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0,IL6,HighExpr,LowAffinity,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,0,IL6,HighExpr,LowAffinity,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,0,IL6,HighExpr,LowAffinity,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,75.8022533333333,IL6,HighExpr,LowAffinity,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,16.46224,IL6,HighExpr,LowAffinity,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,0,IL6,HighExpr,LowAffinity,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,33.8473366666667,IL6,HighExpr,LowAffinity,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,84.1853633333333,IL6,HighExpr,LowAffinity,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,46.28123,IL6,HighExpr,LowAffinity,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
